American Diabetes Association|Health|$618,567
American Red Cross|Humanitarian Relief|$461,804
Boys & Girls Club of America|Youth|$894,929
Clean Water Fund|Environment|$474,154
Doctors Without Borders|Health|$825,019
Glide Foundation|Hunger & Poverty|$114,452
The Humane Society of the United States|Animals|$2,480,260
Joint Venture Silicon Valley|Advocacy|$2,836
Kidpower|Advocacy|$87,362
L Casa de las Madres|Advocacy|$14,975
Guide Dogs for the Blind|Animals|$39,984
Petfinder Foundation|Animals|$514,468
RedRover|Animals|$159,860
Citizen Schools|Arts & Education|$17,456
CoachArt|Arts & Education|$33,235
CollegeSpring|Arts & Education|$6,852
EDGEucation|Arts & Education|$3,267
Global ADE|Arts & Education|$20,646
Great Schools|Arts & Education|$8,004
Moreland Educational Foundation|Arts & Education|$7,721
ProPublica|Arts & Education|$42,562
Scholarship America|Arts & Education|$53,029
Teach for America|Arts & Education|$641,692
Think College Now K-5|Arts & Education|$6,715
Worldreader|Arts & Education|$3,367
Wildlife Conservation Society|Environment|$234,517
Cure CMD|Health|$8,778
MiracleFeet|Health|$18,487
SamaHope|Health|$13,484
St. Jude Children's Research Hospital|Health|$177,644
UCSF Benioff Children's Hospital|Health|$5,994
Heart to Heart Internationa|Humanitarian Relief|$12,195
International Rescue Committe|Humanitarian Relief|$50,543
Mercy Corps|Humanitarian Relief|$70,509
Save the Children|Humanitarian Relief|$58,472
Action Against Hunger|Hunger & Poverty|$153,179
charity: water|Hunger & Poverty|$23,223
Meals on Wheels America|Hunger & Poverty|$28,682
OPCC|Hunger & Poverty|$96,606
Water 1st International|Hunger & Poverty|$86,322
Project WeHOPE|Hunger & Poverty|$8,646
Special Olympics|Sports|$213,393
Breakthrough New York|Youth|$6,064
Code.org|Youth|$7,651
Girls For A Change|Youth|$252,153
Half the Sky|Youth|$35,677
Harper's Playground|Youth|$8,658
One Heartland|Youth|$37,109
PACER's National Bullying Prevention Center|Youth|$68,282
Spark Program|Youth|$86,236
U.S. Fund for Unicef|Youth|$41,446
Soccer Foundation|Youth|$7,737
